Timestamp,Voltage (V),Current (A)
1743751295,-0.13228556485,-5.307248670530018e-07
1743751305,-0.13231745860000002,3.51328926360003e-07
1743751315,-0.13215011485,4.560156287709998e-07
1743751325,-0.13233123985,1.7760366083800013e-07
1743751335,-0.13215995860000002,2.4889993943800175e-07
1743751345,-0.13221626485,-6.791399536720016e-07
1743751355,-0.13215720235,-5.779288567300074e-08
1743751365,-0.13216271484999997,-9.82149137722e-07
1743751375,-0.1321757086,-3.699517588099977e-07
1743751385,-0.13219815235,-1.0344330753620003e-06
1743751395,-0.1321694086,3.786591664900024e-07
1743751405,-0.1322426461,1.291221913900001e-07
1743751415,-0.13217807110000002,-6.506214422319996e-07
1743751425,-0.13214302735,2.534153704159995e-07
1743751435,-0.13228005235,2.434338914120005e-07
1743751445,-0.1321686211,5.210140694279997e-07
1743751455,-0.13212885235,-6.748621769559962e-07
1743751465,-0.1322103586,-3.968066904159987e-07
1743751475,-0.1322268961,3.092641219860009e-07
1743751485,-0.13215090235,9.20748538111999e-07
1743751495,-0.1321993336,-3.2218325214800194e-07
1743751505,-0.13215326485,3.185326382040024e-07
1743751515,-0.1322410711,-7.415241974469971e-07
1743751525,-2.2644162211000003,6.7286532991529e-05
1743751535,-2.2643292023500003,6.671628158986e-05
1743751545,-2.26450953985,6.7774556018546e-05
1743751555,-2.26426226485,6.742330301931e-05
1743751565,-0.1314165586,1.208429022263e-06
1743751575,-0.1320371086,-6.682078576199991e-07
1743751585,-0.13208317735,-7.597047484899979e-07
1743751595,-0.1321182211,-7.254825347620023e-07
1743751605,-0.13220366484999999,-7.783606080569971e-07
1743751615,-0.13215877735,-1.0413546676300145e-07
1743751625,-0.13217058985,-3.509690365200211e-08
1743751635,-0.13218633985,-6.840118660430015e-07
1743751645,-0.13218948985,-1.2733944358030023e-06
1743751655,-0.13221705234999998,-8.526275649319985e-07
1743751667,-0.13233753985000002,-4.2722643595200085e-07
1743751675,-0.1321654711,-9.386584077759961e-07
1743751685,-0.13231627735,-4.392279761829962e-07
1743751695,-0.13232808985,4.6469000933399996e-07
1743751705,-0.13214223985,-1.0308682614319992e-06
1743751715,-0.13215995860000002,-1.3709515103539968e-06
1743751725,-0.1323607711,-7.81806594856002e-07
1743751735,-0.13215956485000002,1.7522711821800165e-07
1743751745,-0.13225445859999999,5.459677669380006e-07
1743751755,-0.1323095836,-9.657509936439963e-07
1743751765,-0.1321394836,6.650029335299868e-08
1743751775,-0.1321323961,-6.197263881719991e-07
1743751785,-0.13224540235,-3.9288539509300225e-07
1743751795,-0.1321701961,1.3409212733280014e-06
1743751805,-0.13212767109999998,2.5828728278699944e-07
1743751815,-0.13218200859999998,-7.81123250740009e-08
1743751825,-0.13228595859999998,3.635681208529975e-07
1743751835,-0.13214460235,-1.1769068054310006e-06
1743751845,-0.13220681485,-2.273592016100012e-07
1743751855,-0.13234777735,-1.105610526830999e-06
1743751865,-0.1322371336,-3.88964099769999e-07
1743751875,-0.13217216485,-7.953528877900021e-07
1743751885,-0.1323576211,1.1720985962003722e-08
1743751895,-0.1321749211,-2.6086845255199933e-07
1743751905,-0.13216153360000002,1.6453267642799836e-07
1743751915,-0.13220208984999998,5.313520298250008e-07
1743751925,-0.13216822735,-7.692405376399827e-08
1743751935,-0.13221783985,-9.981908004070016e-07
