Timestamp,Voltage (V),Current (A)
1748473275,-3.198921151778654,-10.09054776404895
1748473275,-3.199084699598654,-9.294095156726549
1748473285,-3.1865814406586543,-9.290751087199649
1748473285,-3.199019505278654,-9.86532669591195
1748473295,-3.198826732418654,-9.59389300431285
1748473295,-3.199421911598654,-8.891880143629649
1748473305,-3.199018943258654,-9.33337790116905
1748473305,-3.198867759878654,-9.513433885695749
1748473315,-3.199483733798654,-9.74925122233365
1748473315,-3.199599509918654,-8.79687633707025
1748473325,-3.1988711319986542,-10.028622042809848
1748473325,-3.198954310958654,-10.112384940959549
1748473335,-3.1977431578586537,-9.88865460261165
1748473335,-3.1988452790786543,-10.09356951362145
1748473345,-3.1988284184786537,-9.82024219229025
1748473345,-3.1922786373986543,-10.03623685173255
1748473355,-3.198957683078654,-10.325962200743849
1748473355,-3.199162820378654,-9.74945267230515
1748473365,-3.199740576938654,-8.95360441489725
1748473365,-3.199092005858654,-9.42777735781395
1748473375,-3.198364751978654,-9.811458973532849
1748473385,-3.198467039618654,-9.777172188383549
1748473395,-3.1989239618786542,-9.635754308390549
1748473395,-3.1991510179586538,-9.44953395473595
1748473405,-3.198593494118654,-9.90980684961915
1748473405,-3.199036927898654,-9.43712463649155
1748473415,-3.198551904638654,-9.77128984921575
1748473415,-3.199042548098654,-9.317423063426249
1748473425,-3.198993652358654,-9.87604383439575
1748473425,-3.199122354938654,-9.51492461548485
1748473435,-3.199022315378654,-9.332572101283048
1748473435,-3.1992128401586544,-8.97789928146015
1748473445,-3.197177203718654,-10.16230424389725
1748473445,-3.198808185758654,-10.040024111196749
1748473455,-3.1988374107986544,-9.72910622518365
1748473455,-3.198752545778654,-10.05960504842655
1748473465,-3.1990981880786538,-9.59207995456935
1748473465,-3.1988166160586538,-10.028622042809848
1748473475,-3.198829542518654,-10.13917778716905
1748473475,-3.198854271398654,-10.02636580312905
1748473485,-3.198657564398654,-9.82265959194825
1748473485,-3.1968866393786537,-10.07745351590145
1748473495,-3.198893612798654,-10.22950795438965
1748473495,-3.198680607218654,-10.098646052903248
1748473515,-3.198816054038654,-10.016051564588249
1748473515,-3.198802565558654,-9.684424621504949
1748473525,-3.198751421738654,-10.285349886489449
1748473525,-3.199249371458654,-9.24586803354945
1748473535,-3.198732875078654,-9.97983085971255
1748473535,-3.198863825738654,-9.28547309794635
1748473545,-3.198784580918654,-10.26367386955605
1748473545,-3.199954144538654,-9.979427959769549
1748473555,-3.198358007738654,-9.07818107727285
1748473555,-3.199967633018654,-9.174796483604249
1748473565,-3.198963865298654,-8.82197700351915
1748473565,-3.200129494778654,-9.156706276163549
1748473575,-3.198704212058654,-9.56069404900965
1748473575,-3.2001221885186544,-9.318269153306549
1748473585,-3.198713766398654,-9.70803455816475
1748473585,-3.1992268906586543,-9.38245111422645
1748473595,-3.198709832258654,-10.13720357744835
1748473595,-3.198361379858654,-8.972339262246749
1748473605,-3.198905977238654,-9.80344126466715
1748473605,-3.200270561798654,-9.690951600581549
1748473615,-3.198694095698654,-10.08261063517185
1748473615,-3.199931663738654,-9.354086958239249
1748473625,-3.198875066138654,-9.987929148566849
1748473625,-3.198821674238654,-9.326770342103849
1748473645,-3.198306863918654,-9.658961345107349
1748473645,-3.199188111278654,-9.057028830265349
1748473655,-3.198736809218654,-9.55537576976205
1748473655,-3.199816449638654,-9.061984499564248
1748473665,-3.198744115478654,-9.35396608825635
1748473665,-3.200504924138654,-9.47813985068895
1748473675,-3.198598552298654,-10.035672791812349
1748473675,-3.1991819290586543,-9.86488350597465
1748473685,-3.199305573458654,-9.355658268016949
1748473685,-3.1991706886586537,-9.75493211152995
1748473695,-3.198888554618654,-9.12709313035305
1748473695,-3.199847360738654,-9.06875321860665
1748473705,-3.198708146198654,-9.929992136763449
1748473705,-3.1985721373586538,-9.45872007343635
1748473715,-3.1987930112186542,-10.13410124788725
1748473715,-3.1985996763386537,-9.346915339253849
1748473725,-3.198579443618654,-9.756422841319049
1748473725,-3.198959369138654,-9.369598606044748
1748473735,-3.198559772918654,-9.98051578961565
1748473735,-3.198470973758654,-9.111782932519048
1748473745,-3.198710394278654,-9.833215570454849
1748473745,-3.199848484778654,-9.521733624521548
1748473755,-3.198362503898654,-10.13925836715765
1748473755,-3.199011074978654,-10.055213439047849
1748473765,-3.198610916738654,-9.915084838872449
1748473765,-3.199988989778654,-9.25791474184515
1748473775,-3.1972345297586537,-8.81847177401505
1748473775,-3.199847360738654,-9.25549734218715
1748473785,-3.1985170593986543,-9.80086270503195
1748473785,-3.199687747058654,-9.16444195506915
1748473795,-3.1985058189986537,-9.913956719032049
1748473795,-3.198823360298654,-8.938656827011949
