local_time,sensor_ts,logger_id,pot_value,type,voltage,current,power,temperature,humidity
00:32:01,25,13,,power,-0.7323747398500001,6.6452723013302e-05,-4.866829572919117e-05,,
00:32:07,25,13,,bme280,,,,26.52,45.116
00:32:18,36,13,,power,-0.7324971961,6.6911395738962e-05,-4.901240976592715e-05,,
00:32:20,36,13,,bme280,,,,26.53,45.116
00:32:21,52,13,,power,-0.73263540235,6.64952631262e-05,-4.871678385483265e-05,,
00:32:22,52,13,,bme280,,,,26.62,44.946
00:32:23,55,13,,power,-2.2673843086,6.7111381800435e-05,-0.00015216729402276995,,
00:32:24,55,13,,bme280,,,,26.64,44.899
00:32:38,64,13,,power,-2.27502030235,6.5554984038597e-05,-0.0001491389196080384,,
00:32:39,64,13,,bme280,,,,26.64,44.864
00:32:48,74,13,,power,0.7289807413999999,6.5841951559962e-05,4.7997514663403984e-05,,
00:32:49,74,13,,bme280,,,,26.63,44.863
00:32:58,84,13,,power,0.7289177414,6.616135888809e-05,4.822618828866138e-05,,
00:32:59,84,13,,bme280,,,,26.63,44.947
00:33:08,94,13,,power,0.7288972664,6.6179658266264e-05,4.8238172001565986e-05,,
00:33:09,94,13,,bme280,,,,26.62,44.958
00:33:18,104,13,,power,0.7288555288999999,6.666875073746e-05,4.8591887579853666e-05,,
00:33:19,104,13,,bme280,,,,26.62,44.981
00:33:28,114,13,,power,0.7288232414,6.6845684335519e-05,4.871868833101416e-05,,
00:33:29,114,13,,bme280,,,,26.62,44.993
00:33:38,124,13,,power,0.72877717265,6.7146198149818e-05,4.8934616441821026e-05,,
00:33:39,124,13,,bme280,,,,26.62,45.006
00:33:48,134,13,,power,0.72874567265,6.7116372539937e-05,4.891076605244438e-05,,
00:33:49,134,13,,bme280,,,,26.6,44.98
00:33:58,144,13,,power,0.7287248038999999,6.686719204623e-05,4.872778141123259e-05,,
00:33:59,144,13,,bme280,,,,26.6,44.957
00:34:08,154,13,,power,0.7286956663999999,6.6850437420759e-05,4.871362404545147e-05,,
00:34:09,154,13,,bme280,,,,26.6,44.909
00:34:18,164,13,,power,0.72865983515,6.6207226160656e-05,4.8242546499962366e-05,,
00:34:19,164,13,,bme280,,,,26.6,44.897
00:34:28,174,13,,power,0.72864172265,6.6114540998476e-05,4.81738130453436e-05,,
00:34:29,174,13,,bme280,,,,26.6,44.921
00:34:38,184,13,,power,0.7285873851499999,6.677141737864399e-05,4.864881239066549e-05,,
00:34:40,184,13,,bme280,,,,26.61,44.897
00:34:48,194,13,,power,0.72857793515,6.5268729480018e-05,4.755335615441545e-05,,
00:34:49,194,13,,bme280,,,,26.61,44.909
00:34:58,204,13,,power,0.7285543101499999,6.7495668742089e-05,4.917426037850556e-05,,
00:34:59,204,13,,bme280,,,,26.62,44.886
00:35:08,214,13,,power,0.72851572265,6.6639162781841e-05,4.854767783080388e-05,,
00:35:09,214,13,,bme280,,,,26.63,44.911
00:35:18,224,13,,power,0.7285011538999999,6.6880381857771e-05,4.8722435356658796e-05,,
00:35:19,224,13,,bme280,,,,26.62,44.886
00:35:28,234,13,,power,0.72848501015,6.5724906835927e-05,4.7879609423478086e-05,,
00:35:29,234,13,,bme280,,,,26.62,44.886
00:35:39,244,13,,power,0.7284397289,6.5856686124206e-05,4.797262658656901e-05,,
00:35:40,244,13,,bme280,,,,26.63,44.875
00:35:48,254,13,,power,0.7284129538999999,6.7455505171811e-05,4.913546377901557e-05,,
00:35:49,254,13,,bme280,,,,26.63,44.851
00:35:58,264,13,,power,0.7283924789,6.644416745987e-05,4.839743184454143e-05,,
00:35:59,264,13,,bme280,,,,26.63,44.887
00:36:08,274,13,,power,0.72836924765,6.6162190678007e-05,4.81905050470158e-05,,
00:36:09,274,13,,bme280,,,,26.64,44.888
00:36:18,284,13,,power,0.7283499538999999,6.6074258601067e-05,4.812518320606382e-05,,
00:36:19,284,13,,bme280,,,,26.63,44.899
00:36:28,294,13,,power,0.7283219976499999,6.6011993184423e-05,4.8077986744937137e-05,,
00:36:29,294,13,,bme280,,,,26.65,44.901
00:36:38,304,13,,power,0.7283019164,6.6983404980348e-05,4.878414221418475e-05,,
00:36:39,304,13,,bme280,,,,26.64,44.9
00:36:48,314,13,,power,0.7282790789,6.6422540922028e-05,4.8374146920892114e-05,,
00:36:49,314,13,,bme280,,,,26.64,44.888
00:36:58,324,13,,power,0.7282570289,6.63407878559e-05,4.831314505882294e-05,,
00:36:59,324,13,,bme280,,,,26.65,44.817
00:37:08,334,13,,power,0.7282444289,6.6817878786865e-05,4.865974797744992e-05,,
00:37:09,334,13,,bme280,,,,26.66,44.806
00:37:18,344,13,,power,0.7282184413999999,6.6866122602051e-05,4.869314358372688e-05,,
00:37:19,344,13,,bme280,,,,26.66,44.77
00:37:28,354,13,,power,0.7281814289,6.6190828016578e-05,4.819893172518593e-05,,
00:37:29,354,13,,bme280,,,,26.65,44.757
