metric,timestamp,value
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:52:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:53:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:54:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:55:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:56:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:57:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:58:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 03:59:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:00:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:01:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:02:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:03:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:04:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:05:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:06:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:07:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:08:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:09:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:10:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:11:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:12:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:13:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:14:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:15:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:16:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:17:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:18:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:19:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:20:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:21:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:22:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:23:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:24:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:25:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:26:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:27:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:28:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 04:29:19,158
